기준_년분기_코드,행정동_코드,행정동_코드_명,당월_매출_금액,당월_매출_건수,점포_수,프랜차이즈_점포_수,개업_점포_수,폐업_점포_수,총_유동인구_수,주요_상권유형,연도,분기
20221,11110515,청운효자동,1202573186.0,179263,4,5,0,0,3627519.0,골목상권,2022,1
20221,11110530,사직동,3761850443.0,659962,4,25,0,1,3402653.0,골목상권,2022,1
20221,11110540,삼청동,1226802003.0,138702,1,8,0,0,821735.0,발달상권,2022,1
20221,11110550,부암동,607056495.0,79978,2,6,1,1,1283546.0,골목상권,2022,1
20221,11110560,평창동,568959905.0,72916,3,14,1,0,823714.0,골목상권,2022,1
20221,11110570,무악동,657452867.0,109312,0,4,0,0,1859503.0,골목상권,2022,1
20221,11110580,교남동,735179324.0,110288,6,14,0,1,3853931.0,골목상권,2022,1
20221,11110600,가회동,680488447.0,100516,1,4,1,0,1255813.0,골목상권,2022,1
20221,11110615,종로1·2·3·4가동,9632026498.0,1475511,20,78,0,2,,발달상권,2022,1
20221,11110630,종로5·6가동,3176634857.0,471385,5,18,0,0,,전통시장,2022,1
20221,11110640,이화동,4182941140.0,659950,3,17,0,0,3431620.0,골목상권,2022,1
20221,11110650,혜화동,1141551220.0,194680,7,25,0,2,8469184.0,골목상권,2022,1
20221,11110670,창신1동,1634730976.0,184209,1,10,0,1,2985441.0,전통시장,2022,1
20221,11110690,창신3동,112538624.0,13476,0,3,0,1,1220959.0,골목상권,2022,1
20221,11110700,숭인1동,396190063.0,54229,4,4,0,0,2210888.0,골목상권,2022,1
20221,11110710,숭인2동,1709586861.0,254596,2,12,0,0,5305428.0,골목상권,2022,1
20221,11140520,소공동,4634471344.0,664459,11,33,0,0,2332832.0,발달상권,2022,1
20221,11140540,회현동,5305284191.0,869863,21,29,1,1,3946732.0,전통시장,2022,1
20221,11140550,명동,9938473441.0,1536065,27,72,3,4,4441054.0,발달상권,2022,1
20221,11140570,필동,1556911322.0,237320,3,20,1,1,2084156.0,골목상권,2022,1
20221,11140580,장충동,720507669.0,115649,3,6,1,1,2100143.0,골목상권,2022,1
20221,11140590,광희동,7855918682.0,1048207,9,39,3,1,5429807.0,발달상권,2022,1
20221,11140605,을지로동,5681350682.0,835664,5,20,0,0,4789733.0,전통시장,2022,1
20221,11140615,신당동,3344411694.0,396955,4,18,0,1,5806240.0,전통시장,2022,1
20221,11140625,다산동,1943914555.0,212581,0,11,0,1,4072270.0,골목상권,2022,1
20221,11140635,약수동,1446471787.0,216144,4,6,0,0,2328694.0,골목상권,2022,1
20221,11140645,청구동,1005110467.0,136250,1,5,1,1,3269723.0,골목상권,2022,1
20221,11140650,신당5동,769793177.0,116638,0,5,1,1,4743028.0,골목상권,2022,1
20221,11140665,동화동,1375861764.0,193213,4,4,0,0,2472955.0,전통시장,2022,1
20221,11140670,황학동,679943163.0,93987,2,11,0,0,6174659.0,전통시장,2022,1
20221,11140680,중림동,648734467.0,95236,1,10,0,0,2155433.0,골목상권,2022,1
20221,11170510,후암동,1704176003.0,228851,3,11,0,1,4393223.0,골목상권,2022,1
20221,11170520,용산2가동,1163167147.0,152768,1,15,0,1,4919764.0,골목상권,2022,1
20221,11170530,남영동,1532470627.0,189817,9,23,0,0,2164338.0,골목상권,2022,1
20221,11170555,청파동,3119245293.0,460800,4,18,1,1,7669173.0,골목상권,2022,1
20221,11170560,원효로1동,1797340537.0,242171,6,13,1,1,5289436.0,골목상권,2022,1
20221,11170570,원효로2동,1290021394.0,178576,2,8,0,0,3988232.0,골목상권,2022,1
20221,11170580,효창동,133198896.0,17988,2,3,0,0,4104390.0,골목상권,2022,1
20221,11170590,용문동,605267931.0,80271,2,6,0,1,3027455.0,골목상권,2022,1
20221,11170625,한강로동,2855037580.0,408651,18,41,2,3,4882699.0,골목상권,2022,1
