기준_년분기_코드,행정동_코드,행정동_명,편의점_점포수
20221,11110515,청운효자동,4
20221,11110530,사직동,4
20221,11110540,삼청동,1
20221,11110550,부암동,2
20221,11110560,평창동,3
20221,11110570,무악동,0
20221,11110580,교남동,6
20221,11110600,가회동,1
20221,11110615,종로1·2·3·4가동,20
20221,11110630,종로5·6가동,5
20221,11110640,이화동,3
20221,11110650,혜화동,7
20221,11110670,창신1동,1
20221,11110680,창신2동,0
20221,11110690,창신3동,0
20221,11110700,숭인1동,4
20221,11110710,숭인2동,2
20221,11140520,소공동,11
20221,11140540,회현동,21
20221,11140550,명동,27
20221,11140570,필동,3
20221,11140580,장충동,3
20221,11140590,광희동,9
20221,11140605,을지로동,5
20221,11140615,신당동,4
20221,11140625,다산동,0
20221,11140635,약수동,4
20221,11140645,청구동,1
20221,11140650,신당5동,0
20221,11140665,동화동,4
20221,11140670,황학동,2
20221,11140680,중림동,1
20221,11170510,후암동,3
20221,11170520,용산2가동,1
20221,11170530,남영동,9
20221,11170555,청파동,4
20221,11170560,원효로1동,6
20221,11170570,원효로2동,2
20221,11170580,효창동,2
20221,11170590,용문동,2
20221,11170625,한강로동,18
20221,11170630,이촌1동,5
20221,11170640,이촌2동,1
20221,11170650,이태원1동,7
20221,11170660,이태원2동,3
20221,11170685,한남동,4
20221,11170690,서빙고동,6
20221,11170700,보광동,1
20221,11200520,왕십리2동,1
20221,11200535,왕십리도선동,11
20221,11200540,마장동,2
20221,11200550,사근동,10
20221,11200560,행당1동,10
20221,11200570,행당2동,2
20221,11200580,응봉동,0
20221,11200590,금호1가동,0
20221,11200615,금호2·3가동,5
20221,11200620,금호4가동,3
20221,11200645,옥수동,2
20221,11200650,성수1가1동,3
20221,11200660,성수1가2동,6
20221,11200670,성수2가1동,4
20221,11200690,성수2가3동,7
20221,11200720,송정동,1
20221,11200790,용답동,5
20221,11215710,화양동,20
20221,11215730,군자동,3
20221,11215740,중곡1동,2
20221,11215750,중곡2동,8
20221,11215760,중곡3동,3
20221,11215770,중곡4동,4
20221,11215780,능동,5
20221,11215810,광장동,2
20221,11215820,자양1동,4
20221,11215830,자양2동,10
20221,11215840,자양3동,6
20221,11215847,자양4동,3
20221,11215850,구의1동,9
20221,11215860,구의2동,4
20221,11215870,구의3동,7
20221,11230536,용신동,10
20221,11230545,제기동,3
20221,11230560,전농1동,10
20221,11230570,전농2동,4
